unique identifier (URI),unique name,,Next higher level in the hierarchy,Next lower levels in the hierarchy,,
traitID,traitName,trait_class,parentTerm,childTerm01,childTerm02,childTerm03
,Phenology,behaviour,activity_time,,,
,Activity period,behaviour,activity_time,,,
,length of activity period,behaviour,activity_time,,,
,first Emergence in the year,behaviour,activity_time,,,
,last observation in the year,behaviour,activity_time,,,
,colony founding,behaviour,colony_mode,,,
,dispersal mode,behaviour,dispersal_mode,,,
,Dispersal,behaviour,dispersal_range,,,
,,behaviour,locomotion_speed,,,
,Mobility,behaviour,mobility_range,,,
,Vertical distribution of habitat / stratum use,behaviour,habitat,,,
,Habitat preferences,behaviour,habitat,,,
,habitat specialization ,behaviour,habitat,,,
,eusocial,behaviour,sociality,,,
,clustering of individuals,behaviour,aggregation,,,
,Distribution,behaviour,geographic_range,,,
,,behaviour,relict_species,,,
,Moths flight period,behaviour,activity_time,,,
,micro-habitat,behaviour,habitat,,,
,nest sites,behaviour,habitat,,,
,migrational tendency,behaviour,dispersal_mode,,,
,tree-hole specialist,behaviour,habitat,,,
,forest species,behaviour,habitat,,,
,grassland species,behaviour,habitat,,,
,Ecology_Type,environment,habitat,,,
,Nature_Orientation,environment,habitat,,,
,Distribution,behaviour,habitat_specialisation,,,
,macropter,behaviour,wing_type,,,
,submacropter,behaviour,wing_type,,,
, brachypter,behaviour,wing_type,,,
,Altitude,environment,altitude,,,
,Special habitats,environment,habitat,,,
,Humidity,environment,humidity,,,
,Temperature,environment,temperature,,,
,Light,environment,light,,,
,Substrate,environment,substrate,,,
, Biotop,environment,biotop,,,
,landuse intensity,environment,landuse,,,
,apter,behaviour,wing_type,,,
,hyopter,behaviour,wing_type,,,
, Eupter Vfl=Hfl,behaviour,wing_type,,,
,Parapter Hfl > Vfl,behaviour,wing_type,,,
,Flight ability,behaviour,flight_ability,,,
,feeding guild,feeding,feeding_guild, pariste, hyperparasite,
,food source,feeding,feeding_guild,,,
,diet,feeding,feeding_guild,,,
,trophic level,feeding,feeding_guild,,,
,Hunting mode,feeding,feeding_mode,,,
,Feeding mode,feeding,feeding_mode,,,
,Larval feeding breadth,feeding,larval_specialisation,,,
,Tongue length,feeding,mouthpart_size,,,
,feeding specialization,feeding,specialisation,,,
,number of resource species,feeding,specialisation,,,
,host specialisation,feeding,specialisation,,,
,pronotum length/width ratio,feeding,body_size,,,
,clutch size,life-history,clutch_size,,,
,egg length,life-history,egg_size,,,
,egg volume,life-history,egg_size,,,
,egg weight,life-history,egg_size,,,
,Hibernation,life-history,hibernation_mode,,,
,nest habitat specialisation,life-history,nesting_habitat,,,
,reproductive mode,life-history,reproduction_mode,,,
,social structure,life-history,sociality,,,
,generation time,life-history,parity,,,
,average life span,life-history,lifespan,,,
,maximum lifespan,life-history,lifespan,,,
,Age at maturity,life-history,maturation,,,
,number of developmental stages,life-history,ontogeny,,,
,mode of developmental stages,life-history,ontogeny,,,
,generations per year / Voltinism,life-history,voltinism,,,
,Nr_Ovariols,life-history,clutch_size,,,
,Nr_eggs,life-history,clutch_size,,,
,Egg_development_time,life-history,ontogeny,,,
,Egg_biomass,life-history,egg_size,,,
,Egg_placement,life-history,?,,,
,Nr_larval_stages,life-history,ontogeny,,,
,Antenna_segment1_length,morphology,antenna_size,,,
,Antenna_segment2_length,morphology,antenna_size,,,
,Antenna_segment3_length,morphology,antenna_size,,,
,Antenna_segment4_length,morphology,antenna_size,,,
,Antenna_segment5_length,morphology,antenna_size,,,
,Antenna_segment6_length,morphology,antenna_size,,,
,,morphology,antenna_type,,,
,Body length,morphology,body_size,,,
,max body length,morphology,body_size,,,
,min body length,morphology,body_size,,,
,Body width,morphology,body_size,,,
,Body height,morphology,body_size,,,
,Body mass,morphology,body_size,,,
,body volume,morphology,body_size,,,
,length/width ratio (relative body size),morphology,body_size,,,
,pronotum width,morphology,body_size,,,
,Relative body size,morphology,body_size,,,
,Size_class,morphology,body_size,,,
,Eye_width,morphology,eye_morphology,,,
,eye_area,morphology,eye_morphology,,,
,eye_number,morphology,eye_morphology,,,
,head width,morphology,head_size,,,
,Intertegular span,morphology,head_size,,,
,Femur length,morphology,leg_size,,,
,front tibia length,morphology,leg_size,,,
,hind leg length,morphology,leg_size,,,
,length of hind tibia (relative leg lenth - Length hind tibia / Weber´s length),morphology,leg_size,,,
,relative leg length,morphology,leg_size,,,
,Rostrum length,morphology,mouthpart_size,,,
,Rostrum width,morphology,mouthpart_size,,,
,Rostrum length/width ratio,morphology,mouthpart_size,,,
,Thorax length (Weber´s length),morphology,thorax_size,,,
,Thorax width,morphology,thorax_size,,,
,elytra length,morphology,wing_size,,,
,wing area,morphology,wing_size,,,
,Wing length,morphology,wing_size,,,
,Wing width,morphology,wing_size,,,
,Front_Femur_length,morphology,leg_size,,,
,Hind_Femur_length,morphology,leg_size,,,
,Front_Femur_width,morphology,leg_size,,,
,Hind_Femur_width,morphology,leg_size,,,
,Front_Tibia_length,morphology,leg_size,,,
,Mid_Tibia_length,morphology,leg_size,,,
,Hind_Tibia_length,morphology,leg_size,,,
,Wing_appearance,morphology,wing_size,,,
,Front_wing_length,morphology,wing_size,,,
,Front_wing_width,morphology,wing_size,,,
,wing span,morphology,wing_size,,,
,Conservation status,other,other,,,
,water loss rate,physiology,desiccation_resistance,,,
,drought resistance,physiology,desiccation_resistance,,,
,respiration,physiology,metabolic_rate,,,
,larval inundation tolerance,physiology,inundation_tolerance,,,
,,pollination,color_preference,,,
,,pollination,flower_visitor,,,
,,pollination,nectarivore,,,
,,pollination,color_preference,,,
,,pollination,flower_specialisation,,,
,Stable Isotopes,feeding,stoichiometry,,,
,ecomorph,,(is this a trait?),,,
,biomass,,(Not a trait),,,
,NLFA [% of all FAs],,,,,
,General_Body_pubescence,morphology,hairiness,,,
,fecundity,,,,,
,pupal location (at tree hole),,,,,
,oxygen requirements (in water),environment,oxygen,,,
,Activity_Type,,,,,
,Dispersal_ability,behaviour,dispersal_mode,,,
,range of climatic zones,environment,habitat,,,
,Abundance by country / Häufigkeit,,,,,
,Host,feeding,specialisation,,,
,Pflanzenbindung,feeding,specialisation,,,
,WingDimorphism_Males,morphology,wing_type,,,
,WingDimorphism_Females,morphology,wing_type,,,
,Niche,environment,habitat,,,
,Deadwood_dependent,behaviour,specialisation,,,
,Habitatcorrelations,environment,habitat,,,
,Plants,feeding,specialisation,,,
, Host-or Prey (animals),feeding,specialisation,,,
,Beutebindung,feeding,specialisation,,,
,Hibernation_in_conifers,behaviour,annual_activity_time,,,
,Subtsratgilde,environment,habitat,,,
,Urwaldreliktart,environment,habitat,,,
,Flower_visitor,pollination,specialisation,,,
,Dispersal_range,behaviour,dispersal_mode,,,
,passive dispersal,behaviour,dispersal_mode,,,
